cas	vrednost	ekstrem
10.01.2015 11:40:00	242.9	VV2
10.01.2015 18:00:00	166	MIN
11.01.2015 00:20:00	250.2	MAX
11.01.2015 06:10:00	215.9	NV2
11.01.2015 11:00:00	237.7	VV2
11.01.2015 19:30:00	186.4	MIN
12.01.2015 02:30:00	240.4	MAX
12.01.2015 08:30:00	165	MIN
12.01.2015 13:50:00	225.6	VV2
12.01.2015 19:50:00	184.8	NV2
13.01.2015 03:00:00	249.7	MAX
13.01.2015 07:10:00	184.9	MIN
13.01.2015 12:50:00	218.4	VV2
13.01.2015 17:50:00	189.8	NV2
14.01.2015 01:20:00	233.7	MAX
14.01.2015 13:40:00	191.6	MIN
14.01.2015 19:40:00	216.7	VV2
15.01.2015 01:00:00	201.5	NV2
15.01.2015 04:50:00	242.9	MAX
15.01.2015 12:10:00	171	MIN
15.01.2015 18:50:00	228	VV2
16.01.2015 00:00:00	202	NV2
16.01.2015 06:00:00	247.7	VV2
16.01.2015 12:40:00	173.4	MIN
16.01.2015 19:20:00	249.5	MAX
17.01.2015 00:00:00	226.6	NV2
17.01.2015 07:10:00	282.3	MAX
17.01.2015 13:50:00	193.1	MIN
17.01.2015 20:20:00	254.4	VV2
18.01.2015 02:40:00	210.3	NV2
18.01.2015 07:20:00	269.5	MAX
18.01.2015 14:50:00	157.5	MIN
18.01.2015 21:10:00	258.5	VV2
19.01.2015 02:40:00	207	NV2
19.01.2015 08:40:00	277.6	MAX
19.01.2015 15:00:00	141	MIN
19.01.2015 21:20:00	264	VV2
20.01.2015 03:10:00	206.6	NV2
20.01.2015 08:20:00	283.3	MAX
20.01.2015 15:40:00	149.5	MIN
20.01.2015 22:00:00	267	VV2
21.01.2015 03:30:00	201.5	NV2
21.01.2015 09:40:00	280.6	MAX
21.01.2015 16:10:00	159	MIN
21.01.2015 23:00:00	278.6	VV2
22.01.2015 05:00:00	203.3	NV2
22.01.2015 10:40:00	271.3	VV2
22.01.2015 16:40:00	158.5	MIN
22.01.2015 23:30:00	279.1	MAX
23.01.2015 04:50:00	201	NV2
23.01.2015 10:30:00	280.4	MAX
23.01.2015 17:10:00	173.3	MIN
24.01.2015 00:00:00	266.7	MAX
24.01.2015 06:20:00	205.9	NV2
24.01.2015 11:30:00	263.1	VV2
24.01.2015 18:40:00	186.4	MIN
25.01.2015 01:00:00	269.8	MAX
25.01.2015 07:10:00	202.4	NV2
